task,setting,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,training_s,inference_s,latency_ms_per_msg,test_records,stress_type,stress_level
binary,packet_loss_0.1,ARES-MetaFusion,0.9882732633784491,0.9842059507483794,0.9809510223222317,0.9842059507483794,0.9825672564366961,0.9882930370869748,0.9651514845389635,0,2.8991726000094786,0.016329410903327523,177543,packet_loss,0.1
binary,packet_loss_0.2,ARES-MetaFusion,0.9882458052415471,0.984141092646188,0.9809253679697667,0.984141092646188,0.9825222718820499,0.9882653883688305,0.9650611029984638,0,2.537884099991061,0.016081285167480235,157816,packet_loss,0.2
binary,packet_loss_0.3,ARES-MetaFusion,0.9882394687484158,0.9841021516608641,0.9808494147546383,0.9841021516608641,0.9824646172625333,0.9882592903094501,0.9649460841054025,0,2.2597531999927014,0.016364469291491004,138089,packet_loss,0.3
binary,packet_loss_0.5,ARES-MetaFusion,0.9883814061945557,0.9841455163420529,0.9810697914242029,0.9841455163420529,0.9825977425370866,0.98839991782401,0.9652104072493922,0,1.614281399990432,0.016366212804688314,98635,packet_loss,0.5
binary,feature_dropout_0.1,ARES-MetaFusion,0.9853905814366097,0.9781084644650397,0.9783241989286677,0.9781084644650397,0.9782162820289528,0.9853889337748785,0.9564326390630039,0,3.17019179998897,0.016070318852278453,197270,feature_dropout,0.1
binary,feature_dropout_0.2,ARES-MetaFusion,0.982906676129163,0.9726713146128854,0.9762027977729015,0.9726713146128854,0.9744236852987652,0.9828748677135857,0.9488675406939608,0,3.2628127000061795,0.016539832209693208,197270,feature_dropout,0.2
binary,feature_dropout_0.3,ARES-MetaFusion,0.9801794494854768,0.9667933930806722,0.9737800556087242,0.9667933930806722,0.9702341036365452,0.9801058371104768,0.9405474995587324,0,3.409958900010679,0.017285744918186643,197270,feature_dropout,0.3
binary,feature_dropout_0.5,ARES-MetaFusion,0.9744867440563695,0.9547474148751032,0.9684741132849654,0.9547474148751032,0.9614051027795705,0.9742970956247257,0.923119476454146,0,3.5477619000012055,0.017984295128510193,197270,feature_dropout,0.5
binary,gps_corruption_m_25,ARES-MetaFusion,0.9882445379429209,0.9842056571778734,0.9808897012180942,0.9842056571778734,0.9825360111445787,0.9882647330237608,0.9650896617586958,0,3.1253770000184886,0.01584314391452572,197270,gps_corruption_m,25.0
binary,gps_corruption_m_50,ARES-MetaFusion,0.9882648147209409,0.9842011985402377,0.9809510826271983,0.9842011985402377,0.9825649333189017,0.9882845735147331,0.9651468088271636,0,3.0624250000109896,0.015524027982009374,197270,gps_corruption_m,50.0
binary,gps_corruption_m_100,ARES-MetaFusion,0.9882394687484158,0.9841417356094289,0.9809331586300933,0.9841417356094289,0.9825265241287382,0.9882590187105004,0.9650695604593446,0,3.1904970000032336,0.016173249860613543,197270,gps_corruption_m,100.0
binary,gps_corruption_m_250,ARES-MetaFusion,0.9882597455264358,0.9841459484688403,0.9809867258829372,0.9841459484688403,0.982555749288317,0.9882789604352199,0.9651275037082235,0,3.230179700010922,0.01637440918543581,197270,gps_corruption_m,250.0
binary,delay_injection_100,ARES-MetaFusion,0.9881887768033659,0.9841268677123766,0.9808032283199688,0.9841268677123766,0.9824533231396698,0.9882091181768361,0.9649243719847586,0,3.235594600031618,0.016401858366865807,197270,delay_injection,100.0
binary,delay_injection_250,ARES-MetaFusion,0.9881887768033659,0.9841268677123766,0.9808032283199688,0.9841268677123766,0.9824533231396698,0.9882091181768361,0.9649243719847586,0,3.190676500031259,0.016174159781169255,197270,delay_injection,250.0
binary,delay_injection_500,ARES-MetaFusion,0.988193845997871,0.9841300888014912,0.9808146503519979,0.9841300888014912,0.9824607028700835,0.9882141281640099,0.9649390434052726,0,3.1518365999800153,0.015977272773255006,197270,delay_injection,500.0
binary,delay_injection_1000,ARES-MetaFusion,0.9881887768033659,0.9841181962153294,0.980811062491131,0.9841181962153294,0.9824530209416561,0.9882090171774636,0.9649235913658292,0,3.062258500023745,0.015523183961188954,197270,delay_injection,1000.0
binary,stale_trust_0.1,ARES-MetaFusion,0.9605413899731333,0.9489038796931002,0.9356519421596605,0.9489038796931002,0.9420657634430354,0.9608369283519472,0.8844565495971085,0,3.1401118999929167,0.015917837988507714,197270,stale_trust,0.1
binary,stale_trust_0.2,ARES-MetaFusion,0.9319359253814569,0.908935801739671,0.8929339655833033,0.908935801739671,0.900580635768396,0.9326149102601113,0.8017100878660725,0,3.2105802000151016,0.016275055507756382,197270,stale_trust,0.2
binary,stale_trust_0.3,ARES-MetaFusion,0.9026866730876464,0.8680123411547116,0.8501780914616381,0.8680123411547116,0.8585818464034212,0.9038945144748705,0.7179689666270713,0,3.403620299999602,0.01725361332184114,197270,stale_trust,0.3
binary,stale_trust_0.5,ARES-MetaFusion,0.8442337912505703,0.7823095791097081,0.7672508509814437,0.7823095791097081,0.7742505556635444,0.846367006887933,0.5493540761923325,0,3.450271000037901,0.01749009479412937,197270,stale_trust,0.5
binary,edge_cloud_outage_0.1,ARES-MetaFusion,0.9675470167790338,0.9340266579314838,0.9681557437289,0.9340266579314838,0.9498238273990784,0.9669335787405846,0.9015366278573105,0,3.2340370999881998,0.016393963096204188,197270,edge_cloud_outage,0.1
binary,edge_cloud_outage_0.2,ARES-MetaFusion,0.946596035889897,0.8840681500994356,0.9550758812736284,0.8840681500994356,0.9139030962733925,0.9443431031633855,0.8361343238394962,0,3.254823299997952,0.01649933238707331,197270,edge_cloud_outage,0.2
binary,edge_cloud_outage_0.3,ARES-MetaFusion,0.9269934607390885,0.8372470556952814,0.9433814223875177,0.8372470556952814,0.8771958449139668,0.9220636474099911,0.773379801262423,0,3.3309599999920465,0.016885284128311688,197270,edge_cloud_outage,0.3
binary,edge_cloud_outage_0.5,ARES-MetaFusion,0.8884473057231206,0.7446306132651769,0.9224801247749317,0.7446306132651769,0.7935970484725097,0.8738759094190066,0.6429667861283037,0,3.3698958000168204,0.017082657271844784,197270,edge_cloud_outage,0.5
