task,setting,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,training_s,inference_s,latency_ms_per_msg,test_records
binary,raw_edge_cloud,LogisticRegression,0.8463881989151923,0.7263426035077765,0.7811392707487161,0.7263426035077765,0.7474163971022463,0.838132066344636,0.5045147945879964,1.8242615000344813,0.24979919998440892,0.0012662807319126523,197270
binary,raw_edge_cloud,RandomForest,0.8756475895980129,0.7348844647999148,0.8732953981713251,0.7348844647999148,0.7759975661134779,0.8617189285157092,0.5922205326117722,15.801818700041622,0.5942309999954887,0.0030122725198737195,197270
binary,raw_edge_cloud,ExtraTrees,0.8489937648907588,0.7274952964839734,0.7871998426753092,0.7274952964839734,0.7500533321863769,0.8402799279662002,0.5112205526368047,5.146633199998178,0.7698400000226684,0.003902468697838842,197270
binary,raw_edge_cloud,HistGradientBoosting,0.6867592639529578,0.7215369988836311,0.6512844846517792,0.7215369988836311,0.6420640599444885,0.7146340576563278,0.3661426536606294,18.35679789999267,1.2055754999746569,0.006111296699825909,197270
binary,raw_edge_cloud,MLP,0.6930856186951894,0.6683337090846702,0.6224844751788994,0.6683337090846702,0.6248055085526926,0.7166386258525365,0.28718123902618264,117.38120309996884,0.2998075000359677,0.001519782531738063,197270
binary,raw_edge_cloud,XGBoost,0.7527905915749987,0.7282626131885701,0.6741410560318242,0.7282626131885701,0.6862247125284919,0.7691446941927905,0.39874750162598577,5.678612100018654,0.3321426999755204,0.0016836959495894986,197270
binary,enhanced_temporal_trust_graph,LogisticRegression,0.9756222436254879,0.9596832864016929,0.9671731813780136,0.9596832864016929,0.9633666883610481,0.9755237489218701,0.9268262044948437,3.8131076999707147,0.39146219997201115,0.001984398033010651,197270
binary,enhanced_temporal_trust_graph,RandomForest,0.990348253662493,0.9806169988376809,0.9905168448122305,0.9806169988376809,0.985465852451596,0.9902990607031893,0.9710833822756574,12.62679070001468,0.760587900003884,0.0038555680032639726,197270
binary,enhanced_temporal_trust_graph,ExtraTrees,0.9872509758199423,0.9783540824890262,0.9834881038425516,0.9783540824890262,0.9808933809437567,0.9872169510971596,0.961828484310925,5.435302999976557,0.8635749000241049,0.004377629137852207,197270
binary,enhanced_temporal_trust_graph,HistGradientBoosting,0.9910123181426471,0.9824177295421948,0.9907000991694745,0.9824177295421948,0.986488178012719,0.9909740716820965,0.9730825817523766,13.713427200040314,0.9851031999569386,0.0049936797280728884,197270
binary,enhanced_temporal_trust_graph,MLP,0.9582653216403914,0.9045770577825376,0.9714352551619703,0.9045770577825376,0.9331977746506439,0.9566765465984405,0.8734572421553096,179.1032678000047,0.33734030002960935,0.0017100435952228385,197270
binary,enhanced_temporal_trust_graph,XGBoost,0.9912252243118569,0.9815731361186838,0.9922132423686862,0.9815731361186838,0.9867769638484275,0.9911772882083809,0.9737282470312424,4.081159699999262,0.2786951999878511,0.0014127601763463836,197270
binary,graph_neighborhood_baseline,GraphNeighborhood,0.9765600446089117,0.959099864289493,0.9704463480343415,0.959099864289493,0.9646332430023166,0.9764169954512145,0.9294769594520431,4.722734800016042,0.3844876999501139,0.001949042935824575,197270
binary,ARES_vote_inputs,ARES-V2X-Vote,0.9912961930349268,0.9820344632245515,0.9919546215282258,0.9820344632245515,0.9868934293458231,0.9912518708150801,0.9739385646316623,22.48815829999512,1.8800073000020348,0.009530122674517336,197270
binary,ARES_meta_fusion,ARES-MetaFusion,0.9881887768033659,0.9841268677123766,0.9808032283199688,0.9841268677123766,0.9824533231396698,0.9882091181768361,0.9649243719847586,23.64839759998722,1.9702616999857128,0.009987639782966051,197270
multiclass,raw_edge_cloud,LogisticRegression,0.4273533735489431,0.4283788871682941,0.40383754024150564,0.4283788871682941,0.33969017820287073,0.3387255534760301,0.26849960612545437,1.009005400002934,0.1202216999954544,0.0006094271809978933,197270
multiclass,raw_edge_cloud,RandomForest,0.5228671364120241,0.5272274207933764,0.5350248327229437,0.5272274207933764,0.46404683501378113,0.46358500442588096,0.42413841379173806,9.204349600011483,0.5413986999774352,0.002744455314936053,197270
multiclass,raw_edge_cloud,ExtraTrees,0.4764535915243068,0.47972416409885255,0.4618449123332439,0.47972416409885255,0.38991857542794006,0.38883885954994063,0.3457845822499902,3.3796509000239894,1.0553974999929778,0.005350015207547918,197270
multiclass,raw_edge_cloud,HistGradientBoosting,0.5190601713387742,0.5186944716461777,0.5119820261656494,0.5186944716461777,0.5071119784110636,0.5082438719268487,0.36461706929843557,41.135162300022785,2.1305567999952473,0.010800206823111712,197270
multiclass,raw_edge_cloud,MLP,0.4514320474476606,0.451287735334066,0.4816493591231212,0.451287735334066,0.4467608785370875,0.4477505953779471,0.27757202932909536,48.68400229996769,0.2158041000366211,0.001093952958060633,197270
multiclass,raw_edge_cloud,XGBoost,0.5156790186039438,0.5136374645106524,0.5125349376500106,0.5136374645106524,0.5083731171835163,0.5102535970872508,0.35738759697695277,13.110595200036187,0.4357674999628216,0.002208990216266141,197270
multiclass,enhanced_temporal_trust_graph,LogisticRegression,0.6539412987276322,0.6550157265979275,0.6690670830852188,0.6550157265979275,0.6583844247736963,0.6580676967970084,0.5403969089133893,4.082244599994738,0.2083818999817595,0.0010563283823275687,197270
multiclass,enhanced_temporal_trust_graph,RandomForest,0.8193440462310538,0.819885975760727,0.8255420956003766,0.819885975760727,0.8197674485084927,0.8200440940951083,0.7609748479775056,9.678422399971168,0.6485069000045769,0.0032874076139533474,197270
multiclass,enhanced_temporal_trust_graph,ExtraTrees,0.8115628326658894,0.812027454345206,0.8165126821337962,0.812027454345206,0.8116396358736775,0.811932606157657,0.7504072641508708,4.389499799988698,0.8552140999818221,0.00433524661622052,197270
multiclass,enhanced_temporal_trust_graph,HistGradientBoosting,0.7856845947178993,0.7875494184819924,0.8063593023083359,0.7875494184819924,0.7832612968033268,0.7835614511697071,0.7238375303088578,35.01331090001622,2.7941686999984086,0.014164184620055803,197270
multiclass,enhanced_temporal_trust_graph,MLP,0.42433720281847215,0.4314871544989514,0.6714491270689862,0.4314871544989514,0.3933260324150657,0.3920945162476782,0.3153514197588867,193.09458219999215,0.9124110999982804,0.0046251893344060446,197270
multiclass,enhanced_temporal_trust_graph,XGBoost,0.7883611294165357,0.7902061839106236,0.8081565408220008,0.7902061839106236,0.7858841343730962,0.7862046871972259,0.7273088475750782,27.249878100003116,0.9170366000034846,0.0046486368936152715,197270
multiclass,graph_neighborhood_baseline,GraphNeighborhood,0.6168195873675673,0.615284939297031,0.6751940868605578,0.615284939297031,0.6238944039541848,0.6236573390784796,0.49855753797176716,16.283200600009877,0.9875270000193268,0.005005966442030349,197270
multiclass,ARES_vote_inputs,ARES-V2X-Vote,0.7969888984640341,0.7986001602657978,0.8136656909369916,0.7986001602657978,0.7952846504862179,0.7956083804150934,0.7369061215905232,112.11082250002073,8.608534800005145,0.04363833730422845,197270
multiclass,ARES_meta_fusion,ARES-MetaFusion,0.8321691083286866,0.8315111523087256,0.8501879220309813,0.8315111523087256,0.8350016796459495,0.8353273251861268,0.7803573522645566,114.16312699997798,8.8303190000006,0.044762604552139706,197270
multiclass,hierarchical_binary_meta_plus_attack_expert,ARES-Hierarchical-Meta,0.4516297460333553,0.4519084648080285,0.7486898862681421,0.4519084648080285,0.4218316351857388,0.4189934068182635,0.38158148780242934,0.0,0.0,0.0,197270
